time_s,goal_steer_deg,curr_steer_deg
1746816632.308,302.380,0.000
1746816632.408,267.890,302.380
1746816632.508,267.890,267.890
1746816632.608,262.830,267.890
1746816632.708,265.870,262.830
1746816632.808,265.870,265.870
1746816632.908,324.400,265.870
1746816633.008,324.400,324.400
1746816633.112,324.400,324.400
1746816633.208,228.480,324.400
1746816633.308,300.260,228.480
1746816633.408,300.260,300.260
1746816633.508,369.310,300.260
1746816633.608,369.310,369.310
1746816633.708,369.310,369.310
1746816633.808,358.690,369.310
1746816633.908,358.690,358.690
1746816634.008,358.690,358.690
1746816634.108,357.900,358.690
1746816634.208,358.500,357.900
1746816634.307,358.500,358.500
1746816634.408,407.720,358.500
1746816634.508,407.720,407.720
1746816634.608,407.720,407.720
1746816634.708,325.380,407.720
1746816634.808,325.380,325.380
1746816634.908,325.380,325.380
1746816635.008,443.480,325.380
1746816635.108,443.480,443.480
1746816635.208,444.730,443.480
1746816635.308,441.030,444.730
1746816635.408,443.840,441.030
1746816635.508,478.110,443.840
1746816635.608,444.560,478.110
1746816635.708,444.560,444.560
1746816635.808,446.520,444.560
1746816635.908,446.520,446.520
1746816636.008,446.520,446.520
1746816636.108,430.160,446.520
1746816636.208,430.160,430.160
1746816636.307,430.160,430.160
1746816636.408,502.940,430.160
1746816636.508,502.940,502.940
1746816636.608,502.940,502.940
1746816636.708,446.700,502.940
1746816636.808,446.700,446.700
1746816636.908,446.700,446.700
1746816637.008,427.990,446.700
1746816637.108,427.990,427.990
1746816637.208,427.990,427.990
1746816637.308,532.770,427.990
1746816637.408,532.770,532.770
1746816637.508,446.880,532.770
1746816637.608,446.880,446.880
1746816637.708,446.880,446.880
1746816637.808,446.880,446.880
1746816637.908,446.880,446.880
1746816638.008,446.880,446.880
1746816638.108,427.810,446.880
1746816638.208,427.810,427.810
1746816638.308,427.810,427.810
1746816638.408,430.040,427.810
1746816638.508,428.350,430.040
1746816638.608,428.350,428.350
1746816638.709,446.520,428.350
1746816638.808,446.520,446.520
1746816638.908,446.520,446.520
1746816639.008,424.540,446.520
1746816639.108,424.540,424.540
1746816639.208,424.540,424.540
1746816639.308,429.040,424.540
1746816639.408,425.630,429.040
1746816639.508,428.530,425.630
1746816639.608,461.970,428.530
1746816639.708,461.970,461.970
1746816639.808,461.240,461.970
1746816639.908,461.800,461.240
1746816640.008,461.800,461.800
1746816640.108,446.700,461.800
1746816640.208,446.700,446.700
1746816640.308,484.710,446.700
1746816640.408,395.350,484.710
1746816640.508,395.350,395.350
1746816640.608,460.910,395.350
1746816640.708,460.910,460.910
1746816640.807,460.910,460.910
1746816640.908,428.350,460.910
1746816641.008,428.350,428.350
1746816641.108,428.350,428.350
1746816641.208,427.080,428.350
1746816641.308,427.080,427.080
1746816641.408,427.080,427.080
1746816641.508,425.810,427.080
1746816641.612,425.810,425.810
1746816641.708,425.810,425.810
1746816641.808,505.330,425.810
1746816641.908,505.330,505.330
1746816642.008,505.330,505.330
1746816642.108,480.720,505.330
1746816642.208,480.720,480.720
1746816642.308,480.720,480.720
1746816642.408,532.930,480.720
1746816642.508,532.930,532.930
1746816642.608,532.930,532.930
1746816642.708,531.270,532.930
1746816642.808,531.270,531.270
1746816642.908,532.930,531.270
1746816643.008,504.820,532.930
1746816643.108,504.820,504.820
1746816643.208,507.030,504.820
1746816643.308,508.440,507.030
1746816643.408,507.370,508.440
1746816643.508,505.840,507.370
1746816643.608,507.200,505.840
1746816643.708,507.200,507.200
1746816643.808,507.200,507.200
1746816643.908,507.200,507.200
1746816644.008,532.930,507.200
1746816644.108,532.930,532.930
1746816644.208,532.930,532.930
1746816644.308,507.370,532.930
1746816644.409,505.500,507.370
1746816644.508,505.500,505.500
1746816644.612,505.500,505.500
1746816644.708,505.500,505.500
1746816644.808,504.090,505.500
1746816644.908,532.930,504.090
1746816645.008,532.930,532.930
1746816645.108,532.930,532.930
1746816645.208,532.930,532.930
1746816645.308,504.990,532.930
1746816645.408,507.200,504.990
1746816645.508,507.200,507.200
1746816645.608,507.200,507.200
1746816645.708,414.510,507.200
1746816645.808,507.200,414.510
1746816645.908,507.200,507.200
1746816646.008,505.160,507.200
1746816646.108,507.370,505.160
1746816646.208,507.370,507.370
1746816646.308,506.670,507.370
1746816646.416,507.200,506.670
1746816646.508,507.200,507.200
1746816646.608,535.090,507.200
1746816646.708,533.720,535.090
1746816646.808,534.760,533.720
1746816646.908,534.760,534.760
1746816647.008,534.760,534.760
1746816647.108,504.990,534.760
1746816647.208,504.990,504.990
1746816647.308,504.990,504.990
1746816647.409,504.990,504.990
1746816647.508,507.200,504.990
1746816647.608,534.100,507.200
1746816647.708,534.100,534.100
1746816647.807,534.100,534.100
1746816647.908,504.820,534.100
1746816648.008,509.030,504.820
1746816648.108,505.840,509.030
1746816648.208,534.930,505.840
1746816648.308,534.930,534.930
1746816648.408,536.300,534.930
1746816648.508,507.370,536.300
1746816648.608,507.370,507.370
1746816648.708,507.370,507.370
1746816648.812,507.370,507.370
1746816648.908,507.370,507.370
1746816649.008,507.370,507.370
1746816649.108,534.930,507.370
1746816649.208,507.370,534.930
1746816649.308,507.370,507.370
1746816649.408,507.370,507.370
1746816649.508,507.370,507.370
1746816649.608,507.370,507.370
1746816649.708,508.070,507.370
1746816649.808,504.820,508.070
1746816649.909,504.820,504.820
1746816650.008,504.820,504.820
1746816650.108,504.820,504.820
1746816650.208,504.820,504.820
1746816650.308,507.200,504.820
1746816650.408,507.200,507.200
1746816650.508,507.200,507.200
1746816650.608,507.200,507.200
1746816650.708,507.200,507.200
1746816650.808,507.200,507.200
1746816650.908,507.200,507.200
1746816651.008,507.200,507.200
1746816651.108,507.200,507.200
1746816651.208,507.200,507.200
1746816651.308,507.200,507.200
1746816651.408,534.930,507.200
1746816651.508,507.370,534.930
1746816651.608,507.370,507.370
1746816651.708,507.370,507.370
1746816651.808,426.360,507.370
1746816651.908,426.360,426.360
1746816652.008,426.360,426.360
1746816652.108,507.370,426.360
1746816652.208,507.370,507.370
1746816652.308,507.370,507.370
1746816652.408,505.160,507.370
1746816652.508,505.160,505.160
1746816652.608,505.160,505.160
1746816652.708,532.600,505.160
1746816652.807,532.600,532.600
1746816652.908,532.600,532.600
1746816653.008,534.760,532.600
1746816653.108,534.760,534.760
1746816653.208,534.760,534.760
1746816653.308,504.990,534.760
1746816653.408,507.370,504.990
1746816653.508,507.370,507.370
1746816653.608,426.540,507.370
1746816653.708,505.330,426.540
1746816653.808,505.330,505.330
1746816653.907,505.330,505.330
1746816654.008,532.770,505.330
1746816654.108,532.770,532.770
1746816654.207,532.770,532.770
1746816654.308,505.670,532.770
1746816654.408,505.670,505.670
1746816654.507,505.670,505.670
1746816654.608,507.200,505.670
1746816654.708,507.200,507.200
1746816654.808,507.200,507.200
1746816654.908,507.200,507.200
1746816655.008,507.200,507.200
1746816655.108,507.200,507.200
1746816655.208,507.200,507.200
1746816655.308,507.200,507.200
1746816655.408,507.200,507.200
1746816655.508,507.900,507.200
1746816655.608,507.370,507.900
1746816655.708,507.370,507.370
1746816655.808,506.670,507.370
1746816655.908,507.200,506.670
1746816656.008,507.900,507.200
1746816656.108,507.370,507.900
1746816656.208,507.370,507.370
1746816656.307,507.370,507.370
1746816656.408,503.160,507.370
1746816656.508,506.350,503.160
1746816656.607,509.860,506.350
1746816656.708,534.760,509.860
1746816656.807,534.760,534.760
1746816656.907,507.200,534.760
1746816657.008,507.200,507.200
1746816657.108,507.200,507.200
1746816657.208,507.200,507.200
1746816657.308,507.200,507.200
1746816657.407,507.200,507.200
1746816657.508,532.930,507.200
1746816657.608,532.930,532.930
1746816657.707,532.930,532.930
1746816657.808,507.370,532.930
1746816657.908,507.370,507.370
1746816658.008,507.370,507.370
1746816658.108,535.090,507.370
1746816658.207,535.090,535.090
1746816658.308,535.090,535.090
1746816658.408,532.930,535.090
1746816658.508,532.930,532.930
1746816658.608,504.820,532.930
1746816658.708,507.370,504.820
1746816658.808,507.370,507.370
1746816658.908,505.160,507.370
1746816659.008,507.370,505.160
1746816659.108,507.370,507.370
1746816659.208,507.370,507.370
1746816659.308,507.370,507.370
1746816659.408,507.370,507.370
1746816659.508,507.370,507.370
1746816659.608,507.370,507.370
1746816659.708,506.180,507.370
1746816659.808,506.180,506.180
1746816659.908,510.380,506.180
1746816660.008,507.900,510.380
1746816660.108,507.370,507.900
1746816660.208,506.180,507.370
1746816660.308,506.180,506.180
1746816660.408,506.180,506.180
1746816660.508,534.930,506.180
1746816660.608,534.930,534.930
1746816660.708,534.930,534.930
1746816660.808,507.370,534.930
1746816660.907,507.370,507.370
1746816661.008,507.370,507.370
1746816661.108,509.580,507.370
1746816661.208,509.580,509.580
1746816661.308,509.580,509.580
1746816661.408,507.030,509.580
1746816661.508,507.030,507.030
1746816661.608,535.090,507.030
1746816661.708,504.990,535.090
1746816661.808,504.990,504.990
1746816661.908,507.030,504.990
1746816662.008,535.090,507.030
1746816662.108,535.090,535.090
1746816662.208,535.090,535.090
1746816662.308,535.090,535.090
1746816662.408,535.090,535.090
1746816662.508,507.200,535.090
1746816662.608,507.200,507.200
1746816662.708,535.090,507.200
1746816662.808,507.540,535.090
1746816662.908,507.540,507.540
1746816663.008,507.540,507.540
1746816663.108,535.260,507.540
1746816663.208,535.260,535.260
1746816663.308,505.160,535.260
1746816663.408,505.160,505.160
1746816663.508,505.160,505.160
1746816663.608,507.370,505.160
1746816663.708,507.370,507.370
1746816663.808,507.370,507.370
1746816663.908,507.370,507.370
1746816664.008,507.370,507.370
1746816664.108,507.370,507.370
1746816664.208,506.670,507.370
1746816664.308,507.200,506.670
1746816664.408,507.200,507.200
1746816664.507,505.160,507.200
1746816664.608,505.160,505.160
1746816664.708,507.030,505.160
1746816664.808,509.140,507.030
1746816664.908,507.540,509.140
1746816665.008,505.160,507.540
1746816665.108,507.370,505.160
1746816665.208,507.370,507.370
1746816665.308,506.670,507.370
1746816665.408,507.200,506.670
1746816665.508,507.200,507.200
1746816665.608,505.100,507.200
1746816665.708,506.690,505.100
1746816665.808,506.690,506.690
1746816665.908,509.490,506.690
1746816666.010,507.370,509.490
1746816666.108,507.370,507.370
1746816666.208,507.370,507.370
1746816666.308,507.370,507.370
1746816666.408,533.600,507.370
1746816666.508,507.370,533.600
1746816666.607,507.370,507.370
1746816666.708,507.370,507.370
1746816666.808,507.370,507.370
1746816666.908,507.370,507.370
1746816667.008,507.370,507.370
1746816667.108,507.370,507.370
1746816667.208,507.370,507.370
1746816667.308,505.330,507.370
1746816667.408,505.330,505.330
1746816667.508,507.540,505.330
1746816667.608,506.840,507.540
1746816667.708,507.370,506.840
1746816667.808,505.160,507.370
1746816667.908,505.160,505.160
1746816668.008,505.160,505.160
1746816668.108,507.370,505.160
1746816668.208,507.370,507.370
1746816668.308,507.370,507.370
1746816668.408,508.070,507.370
1746816668.510,507.540,508.070
1746816668.608,506.840,507.540
1746816668.708,507.370,506.840
1746816668.808,507.370,507.370
1746816668.908,505.970,507.370
1746816669.008,507.030,505.970
1746816669.107,507.030,507.030
1746816669.208,508.430,507.030
1746816669.307,507.370,508.430
1746816669.408,507.370,507.370
1746816669.508,508.070,507.370
1746816669.608,507.540,508.070
1746816669.708,507.540,507.540
1746816669.808,509.410,507.540
1746816669.908,509.410,509.410
1746816670.008,509.410,509.410
1746816670.108,507.370,509.410
1746816670.209,507.370,507.370
1746816670.308,509.580,507.370
1746816670.407,535.090,509.580
1746816670.508,535.090,535.090
1746816670.608,505.160,535.090
1746816670.708,507.370,505.160
1746816670.808,507.370,507.370
1746816670.908,507.370,507.370
1746816671.008,507.370,507.370
1746816671.108,535.260,507.370
1746816671.208,426.540,535.260
1746816671.308,426.540,426.540
1746816671.408,507.540,426.540
1746816671.507,532.930,507.540
1746816671.607,532.930,532.930
1746816671.708,505.160,532.930
1746816671.808,505.160,505.160
1746816671.908,505.160,505.160
1746816672.008,507.370,505.160
1746816672.108,507.370,507.370
1746816672.208,507.370,507.370
1746816672.308,507.370,507.370
1746816672.408,507.370,507.370
1746816672.508,509.750,507.370
1746816672.608,532.930,509.750
1746816672.708,532.930,532.930
1746816672.808,507.540,532.930
1746816672.908,509.750,507.540
1746816673.008,509.750,509.750
1746816673.108,507.370,509.750
1746816673.208,507.370,507.370
1746816673.308,507.370,507.370
